practice_days,skill_score
20.485861,84.442973
24.905462,81.622347
34.909531,97.227548
30.877586,76.779946
34.288538,97.906055
34.611551,89.194884
52.572875,100.000000
6.099397,54.280146
44.806041,92.278101
49.401669,98.208017
43.017444,97.029014
25.185611,80.779949
56.634273,100.000000
2.825999,43.544396
48.373458,99.589476
36.520869,90.169369
3.426448,45.544631
20.611565,81.645571
23.318086,78.114583
11.386674,73.163187
38.913450,88.880352
26.915213,88.979757
43.232485,91.667606
22.914788,82.889881
4.196659,48.635977
43.226294,100.000000
44.249673,100.000000
5.846543,55.688681
28.462283,90.315653
27.857156,88.918959
54.977683,100.000000
36.266698,97.980825
19.139096,88.563343
52.957330,100.000000
20.095627,73.205848
43.855915,100.000000
12.128866,69.672371
13.691986,73.098448
9.598310,72.509693
49.428874,100.000000
12.310796,72.206275
16.628319,83.348083
12.953689,74.802154
48.368797,100.000000
30.616744,89.431844
13.292281,79.423312
54.432074,99.097733
49.097246,99.971143
19.326359,84.939240
20.629516,77.682777
7.039729,62.960143
6.669290,62.335195
43.375902,100.000000
49.811504,100.000000
41.556964,86.758466
15.828605,81.146565
51.128432,100.000000
15.351704,81.477674
16.101117,80.262541
40.062762,92.576019
15.535226,73.931210
47.580878,94.564389
20.179770,87.200266
51.153154,97.735967
51.342254,100.000000
35.811501,92.142156
52.709173,91.860818
38.972841,93.390657
21.212982,81.722225
17.672250,85.430347
47.062349,97.727903
9.360938,61.400760
44.103189,94.891641
33.329661,95.385312
3.157177,50.034562
13.532519,76.113175
30.317716,92.843408
14.650334,71.571908
41.426714,100.000000
44.360304,99.166340
58.370921,93.818090
53.742383,98.795824
37.753035,100.000000
40.139921,93.098868
42.881466,95.244697
7.697617,63.155220
5.957482,58.995439
53.360218,100.000000
50.034707,100.000000
27.382063,84.470244
14.338209,68.328985
6.271242,59.232648
46.079364,98.255404
19.392516,85.448065
37.203389,100.000000
24.749497,88.255242
26.940404,91.723186
26.306223,95.007593
18.396980,83.830148
37.255989,97.537974
31.958703,87.151752
9.482420,65.476777
45.386460,95.026724
49.332781,98.567925
32.584547,96.402001
42.617589,100.000000
41.641614,96.828201
36.447355,84.199072
17.741509,82.078901
24.387036,88.273677
21.740454,78.228278
22.848099,84.848102
26.467516,86.131641
20.613815,85.292038
5.404233,47.464812
17.393124,73.131298
39.817454,100.000000
22.832796,79.629989
45.558626,94.766878
53.359498,99.609717
23.442040,85.958445
24.939634,92.053189
14.883554,75.458882
8.186066,68.514912
33.123661,93.876878
52.109190,98.664420
47.067855,100.000000
26.005482,91.739876
28.909141,87.553763
27.944521,87.671724
33.057365,87.236816
2.365108,35.389019
35.171133,92.561164
14.964427,80.949382
10.263418,55.507736
5.935258,55.685016
58.973406,100.000000
51.685162,100.000000
38.241101,90.936539
2.480013,41.214338
23.199616,91.371160
38.836950,90.773254
7.813002,63.657806
36.375710,90.439154
13.969792,77.150983
56.279654,100.000000
20.715631,91.168754
8.150521,60.144934
2.855155,39.192947
11.559999,69.804763
42.759060,98.895594
10.147173,67.455981
26.257815,99.122804
21.016109,80.840846
55.650429,100.000000
54.032074,100.000000
23.395634,93.245017
21.973343,84.924851
32.292112,94.970113
55.346048,97.149657
53.194294,97.603462
9.900967,69.830078
50.636652,100.000000
46.235185,100.000000
38.106706,97.731917
43.035611,100.000000
30.905300,90.896333
40.991160,95.326230
35.617627,92.802737
36.562380,88.578032
44.822657,95.592735
39.461144,92.519271
13.160992,76.926980
25.613574,98.708095
46.829053,100.000000
20.289394,92.038945
23.420008,81.825608
24.010300,84.467876
4.539412,53.973775
28.683401,95.424528
51.965931,100.000000
17.399226,84.395631
55.965907,100.000000
22.135262,85.937462
20.553105,80.898793
7.121551,65.349684
10.175225,71.831942
9.158414,67.933520
22.155485,81.174527
42.263031,98.824022
16.201981,78.298958
17.988028,77.233751
2.320501,49.676335
27.624469,89.098386
1.917478,44.353106
2.066909,37.390373
46.068539,97.967068
49.467431,98.068491
18.842681,76.885631
34.525846,94.557463
9.503356,67.359152
52.117819,96.957968
50.962194,99.002659
43.064840,98.771067
19.122964,81.913752
35.109744,100.000000
38.988031,85.988128
57.527174,100.000000
7.651197,67.769060
56.114197,100.000000
23.601051,83.073651
41.490088,94.511245
6.991576,53.817540
24.828329,89.518181
23.136758,83.327142
59.785819,100.000000
3.642338,58.790432
15.023622,72.973281
57.159379,100.000000
52.693485,100.000000
